original	pos	offset	synset_name	lemma
n03172738	n	3172738	delayed_action.n.01	delayed_action
n03173270	n	3173270	delft.n.01	delft
n03173387	n	3173387	delicatessen.n.02	delicatessen
n03173929	n	3173929	delivery_truck.n.01	delivery_truck
n03174079	n	3174079	delta_wing.n.01	delta_wing
n03174450	n	3174450	demijohn.n.01	demijohn
n03175081	n	3175081	den.n.04	den
n03175189	n	3175189	denim.n.02	denim
n03175301	n	3175301	densimeter.n.01	densimeter
n03175457	n	3175457	densitometer.n.01	densitometer
n03175604	n	3175604	dental_appliance.n.01	dental_appliance
n03175843	n	3175843	dental_floss.n.01	dental_floss
n03176386	n	3176386	denture.n.01	denture
n03176594	n	3176594	deodorant.n.01	deodorant
n03176763	n	3176763	department_store.n.01	department_store
n03177165	n	3177165	depilatory.n.02	depilatory
n03177708	n	3177708	depressor.n.03	depressor
n03178000	n	3178000	depth_finder.n.01	depth_finder
n03178430	n	3178430	derrick.n.02	derrick
n03178674	n	3178674	derringer.n.01	derringer
n03179701	n	3179701	desk.n.01	desk
n03179910	n	3179910	desk_phone.n.01	desk_phone
n03180011	n	3180011	desktop_computer.n.01	desktop_computer
n03180384	n	3180384	dessert_spoon.n.01	dessert_spoon
n03180504	n	3180504	destroyer.n.01	destroyer
n03180732	n	3180732	destroyer_escort.n.01	destroyer_escort
n03180865	n	3180865	detached_house.n.01	detached_house
n03180969	n	3180969	detector.n.01	detector
n03181293	n	3181293	detector.n.03	detector
n03181667	n	3181667	detention_home.n.01	detention_home
n03182232	n	3182232	detonator.n.01	detonator
n03183080	n	3183080	device.n.01	device
n03185868	n	3185868	dewar_flask.n.01	Dewar_flask
n03186285	n	3186285	dhow.n.01	dhow
n03187037	n	3187037	dial.n.03	dial
n03187595	n	3187595	dial_telephone.n.01	dial_telephone
n03187751	n	3187751	dialyzer.n.01	dialyzer
n03188531	n	3188531	diaper.n.01	diaper
n03188725	n	3188725	diaper.n.02	diaper
n03189083	n	3189083	diaphragm.n.01	diaphragm
n03189818	n	3189818	diathermy_machine.n.01	diathermy_machine
n03190458	n	3190458	dibble.n.01	dibble
n03191286	n	3191286	dice_cup.n.01	dice_cup
n03192543	n	3192543	dictaphone.n.01	Dictaphone
n03193107	n	3193107	diesel.n.02	diesel
n03193260	n	3193260	diesel-electric_locomotive.n.01	diesel-electric_locomotive
n03193423	n	3193423	diesel-hydraulic_locomotive.n.01	diesel-hydraulic_locomotive
n03193597	n	3193597	diesel_locomotive.n.01	diesel_locomotive
n03195332	n	3195332	digester.n.01	digester
n03196062	n	3196062	digital_camera.n.01	digital_camera
n03196217	n	3196217	digital_clock.n.01	digital_clock
n03196324	n	3196324	digital_computer.n.01	digital_computer
n03196598	n	3196598	digital_display.n.01	digital_display
n03196990	n	3196990	digital_subscriber_line.n.01	digital_subscriber_line
n03197337	n	3197337	digital_watch.n.01	digital_watch
n03199647	n	3199647	diner.n.03	diner
n03199775	n	3199775	dinette.n.01	dinette
n03199901	n	3199901	dinghy.n.01	dinghy
n03200231	n	3200231	dining_area.n.01	dining_area
n03200357	n	3200357	dining_car.n.01	dining_car
n03200539	n	3200539	dining-hall.n.01	dining-hall
n03200701	n	3200701	dining_room.n.01	dining_room
n03200906	n	3200906	dining-room_furniture.n.01	dining-room_furniture
n03201035	n	3201035	dining-room_table.n.01	dining-room_table
n03201529	n	3201529	dinner_bell.n.01	dinner_bell
n03201638	n	3201638	dinner_dress.n.01	dinner_dress
n03201776	n	3201776	dinner_jacket.n.01	dinner_jacket
n03201996	n	3201996	dinner_pail.n.01	dinner_pail
n03202354	n	3202354	dinner_table.n.01	dinner_table
n03202760	n	3202760	diode.n.02	diode
n03202940	n	3202940	diode.n.01	diode
n03203806	n	3203806	diplomatic_building.n.01	diplomatic_building
n03204134	n	3204134	dipole.n.02	dipole
n03204306	n	3204306	dipper.n.01	dipper
n03205143	n	3205143	directional_microphone.n.01	directional_microphone
n03205304	n	3205304	direction_finder.n.01	direction_finder
n03205458	n	3205458	dirk.n.01	dirk
n03205574	n	3205574	dirndl.n.02	dirndl
n03206718	n	3206718	disguise.n.02	disguise
n03206908	n	3206908	dish.n.01	dish
n03207305	n	3207305	dish.n.05	dish
n03207630	n	3207630	dish_rack.n.01	dish_rack
n03207743	n	3207743	dishrag.n.01	dishrag
n03207835	n	3207835	dishtowel.n.01	dishtowel
n03207941	n	3207941	dishwasher.n.01	dishwasher
n03208556	n	3208556	disk.n.02	disk
n03209477	n	3209477	disk_controller.n.01	disk_controller
n03209910	n	3209910	diskette.n.01	diskette
n03210372	n	3210372	dispatch_case.n.01	dispatch_case
n03211117	n	3211117	display.n.06	display
n03211616	n	3211616	display_panel.n.01	display_panel
n03211789	n	3211789	display_window.n.01	display_window
n03212114	n	3212114	disposal.n.04	disposal
n03212406	n	3212406	distaff.n.02	distaff
n03212811	n	3212811	distillery.n.01	distillery
n03213538	n	3213538	distributor_cap.n.01	distributor_cap
n03213715	n	3213715	distributor_housing.n.01	distributor_housing
n03213826	n	3213826	distributor_point.n.01	distributor_point
n03214253	n	3214253	ditch.n.01	ditch
n03215076	n	3215076	divan.n.04	divan
n03215191	n	3215191	dive_bomber.n.01	dive_bomber
n03215749	n	3215749	divider.n.04	divider
n03216199	n	3216199	divining_rod.n.01	divining_rod
n03216402	n	3216402	diving_suit.n.01	diving_suit
n03216710	n	3216710	dixie_cup.n.01	Dixie_cup
n03217653	n	3217653	doeskin.n.02	doeskin
n03218198	n	3218198	dogsled.n.01	dogsled
n03219135	n	3219135	doll.n.01	doll
n03219483	n	3219483	dollhouse.n.01	dollhouse
n03219612	n	3219612	dolly.n.02	dolly
n03219859	n	3219859	dolman.n.02	dolman
n03219966	n	3219966	dolman.n.01	dolman
n03220237	n	3220237	dolmen.n.01	dolmen
n03220513	n	3220513	dome.n.04	dome
n03220692	n	3220692	dome.n.03	dome
n03221059	n	3221059	domino.n.03	domino
n03221351	n	3221351	dongle.n.01	dongle
n03221540	n	3221540	donkey_jacket.n.01	donkey_jacket
n03221720	n	3221720	door.n.01	door
n03222176	n	3222176	door.n.05	door
n03222318	n	3222318	door.n.04	door
n03222516	n	3222516	doorbell.n.01	doorbell
n03222722	n	3222722	doorframe.n.01	doorframe
n03223162	n	3223162	doorlock.n.01	doorlock
n03224603	n	3224603	dormer.n.01	dormer
n03224753	n	3224753	dormer_window.n.01	dormer_window
n03224893	n	3224893	dormitory.n.01	dormitory
n03225108	n	3225108	dormitory.n.02	dormitory
n03225988	n	3225988	double_bed.n.01	double_bed
n03226254	n	3226254	double_boiler.n.01	double_boiler
n03226375	n	3226375	double-breasted_jacket.n.01	double-breasted_jacket
n03226538	n	3226538	double-breasted_suit.n.01	double-breasted_suit
n03226880	n	3226880	double_door.n.01	double_door
n03227010	n	3227010	double_glazing.n.01	double_glazing
n03227184	n	3227184	double-hung_window.n.01	double-hung_window
n03227317	n	3227317	double_knit.n.01	double_knit
n03228016	n	3228016	double-reed_instrument.n.01	double-reed_instrument
n03228254	n	3228254	doublet.n.01	doublet
n03229244	n	3229244	dowel.n.01	dowel
n03231160	n	3231160	drafting_instrument.n.01	drafting_instrument
n03231368	n	3231368	drafting_table.n.01	drafting_table
n03232309	n	3232309	drainage_ditch.n.01	drainage_ditch
n03232417	n	3232417	drainage_system.n.01	drainage_system
n03232543	n	3232543	drain_basket.n.01	drain_basket
n03233123	n	3233123	drapery.n.02	drapery
n03233624	n	3233624	drawbar.n.01	drawbar
n03233744	n	3233744	drawbridge.n.01	drawbridge
n03233905	n	3233905	drawer.n.01	drawer
n03234164	n	3234164	drawers.n.01	drawers
n03235042	n	3235042	drawing_room.n.01	drawing_room
n03235180	n	3235180	drawing_room.n.02	drawing_room
n03235327	n	3235327	drawknife.n.01	drawknife
n03235796	n	3235796	drawstring_bag.n.01	drawstring_bag
n03236217	n	3236217	dredge.n.01	dredge
n03236423	n	3236423	dredger.n.01	dredger
n03236580	n	3236580	dredging_bucket.n.01	dredging_bucket
n03236735	n	3236735	dress.n.01	dress
n03237340	n	3237340	dresser.n.05	dresser
n03237416	n	3237416	dress_hat.n.01	dress_hat
n03237839	n	3237839	dressing_case.n.01	dressing_case
n03237992	n	3237992	dressing_gown.n.01	dressing_gown
n03238131	n	3238131	dressing_room.n.01	dressing_room
n03238286	n	3238286	dressing_sack.n.01	dressing_sack
n03238586	n	3238586	dressing_table.n.01	dressing_table
n03238762	n	3238762	dress_rack.n.01	dress_rack
n03238879	n	3238879	dress_shirt.n.01	dress_shirt
n03239054	n	3239054	dress_suit.n.01	dress_suit
n03239259	n	3239259	dress_uniform.n.01	dress_uniform
n03239726	n	3239726	drill.n.01	drill
n03240892	n	3240892	drill_press.n.01	drill_press
n03241496	n	3241496	drinking_vessel.n.01	drinking_vessel
n03242390	n	3242390	dripping_pan.n.01	dripping_pan
n03242506	n	3242506	drip_pot.n.01	drip_pot
n03242995	n	3242995	drive.n.02	drive
n03243218	n	3243218	drive.n.10	drive
n03244047	n	3244047	driver.n.05	driver
n03244231	n	3244231	driveshaft.n.01	driveshaft
n03244775	n	3244775	driving_iron.n.01	driving_iron
n03244919	n	3244919	driving_wheel.n.01	driving_wheel
n03245271	n	3245271	drogue.n.04	drogue
n03245421	n	3245421	drogue_parachute.n.01	drogue_parachute
n03245724	n	3245724	drone.n.05	drone
n03245889	n	3245889	drone.n.04	drone
n03246197	n	3246197	drop_arch.n.01	drop_arch
n03246454	n	3246454	drop_curtain.n.01	drop_curtain
n03246933	n	3246933	drop-leaf_table.n.01	drop-leaf_table
n03249342	n	3249342	drugstore.n.01	drugstore
n03249569	n	3249569	drum.n.01	drum
n03250588	n	3250588	drum_sander.n.01	drum_sander
n03250847	n	3250847	drumstick.n.02	drumstick
n03250952	n	3250952	dry_battery.n.01	dry_battery
n03251766	n	3251766	dryer.n.01	dryer
n03251932	n	3251932	dry_fly.n.01	dry_fly
n03252637	n	3252637	dry_wall.n.02	dry_wall
n03253796	n	3253796	duffel.n.02	duffel
n03253886	n	3253886	duffel_bag.n.01	duffel_bag
n03254046	n	3254046	duffel_coat.n.01	duffel_coat
n03254189	n	3254189	dugout.n.01	dugout
n03254374	n	3254374	dugout_canoe.n.01	dugout_canoe
n03254862	n	3254862	dulcimer.n.01	dulcimer
n03255030	n	3255030	dumbbell.n.01	dumbbell
n03255899	n	3255899	dumpcart.n.01	dumpcart
n03256032	n	3256032	dumpster.n.01	Dumpster
n03256166	n	3256166	dump_truck.n.01	dump_truck
n03256631	n	3256631	dunce_cap.n.01	dunce_cap
n03256788	n	3256788	dune_buggy.n.01	dune_buggy
n03257210	n	3257210	duplex_house.n.01	duplex_house
n03257586	n	3257586	duplicator.n.01	duplicator
n03258192	n	3258192	dust_bag.n.01	dust_bag
n03258330	n	3258330	dustcloth.n.01	dustcloth
n03258456	n	3258456	dust_cover.n.03	dust_cover
n03258577	n	3258577	dust_cover.n.02	dust_cover
n03259009	n	3259009	dustpan.n.02	dustpan
n03259280	n	3259280	dutch_oven.n.01	Dutch_oven
n03259401	n	3259401	dutch_oven.n.02	Dutch_oven
n03259505	n	3259505	dwelling.n.01	dwelling
n03260849	n	3260849	eames_chair.n.01	Eames_chair
n03261019	n	3261019	earflap.n.01	earflap
n03261395	n	3261395	early_warning_system.n.01	early_warning_system
n03261603	n	3261603	earmuff.n.01	earmuff
n03261776	n	3261776	earphone.n.01	earphone
n03262072	n	3262072	earplug.n.02	earplug
n03262248	n	3262248	earplug.n.01	earplug
n03262519	n	3262519	earthenware.n.01	earthenware
n03262717	n	3262717	earthwork.n.01	earthwork
n03262809	n	3262809	easel.n.01	easel
n03262932	n	3262932	easy_chair.n.01	easy_chair
n03264906	n	3264906	edger.n.02	edger
n03266371	n	3266371	eggbeater.n.02	eggbeater
n03266749	n	3266749	eiderdown.n.01	eiderdown
n03267468	n	3267468	ejection_seat.n.01	ejection_seat
n03267696	n	3267696	elastic.n.02	elastic
n03267821	n	3267821	elastic_bandage.n.01	elastic_bandage
n03268142	n	3268142	elastoplast.n.01	Elastoplast
n03268311	n	3268311	elbow.n.04	elbow
n03268645	n	3268645	elbow_pad.n.01	elbow_pad
n03268790	n	3268790	electric.n.01	electric
n03268918	n	3268918	electrical_cable.n.01	electrical_cable
n03269203	n	3269203	electrical_converter.n.01	electrical_converter
n03269401	n	3269401	electrical_device.n.01	electrical_device
n03270165	n	3270165	electrical_system.n.02	electrical_system
n03270695	n	3270695	electric_bell.n.01	electric_bell
n03270854	n	3270854	electric_blanket.n.01	electric_blanket
n03271574	n	3271574	electric_fan.n.01	electric_fan
n03271865	n	3271865	electric_furnace.n.01	electric_furnace
n03272010	n	3272010	electric_guitar.n.01	electric_guitar
n03272383	n	3272383	electric_lamp.n.01	electric_lamp
n03272562	n	3272562	electric_locomotive.n.01	electric_locomotive
n03272810	n	3272810	electric_meter.n.01	electric_meter
n03272940	n	3272940	electric_mixer.n.01	electric_mixer
n03273061	n	3273061	electric_motor.n.01	electric_motor
n03273551	n	3273551	electric_organ.n.01	electric_organ
n03273740	n	3273740	electric_range.n.01	electric_range
n03273913	n	3273913	electric_refrigerator.n.01	electric_refrigerator
n03274435	n	3274435	electric_typewriter.n.01	electric_typewriter
n03274796	n	3274796	electrode.n.01	electrode
n03275566	n	3275566	electrograph.n.01	electrograph
n03276696	n	3276696	electrometer.n.01	electrometer
n03277459	n	3277459	electronic_balance.n.01	electronic_balance
n03277602	n	3277602	electronic_converter.n.01	electronic_converter
n03277771	n	3277771	electronic_device.n.01	electronic_device
n03278248	n	3278248	electronic_equipment.n.01	electronic_equipment
n03279153	n	3279153	electronic_instrument.n.01	electronic_instrument
n03279508	n	3279508	electron_microscope.n.01	electron_microscope
n03280394	n	3280394	electrostatic_generator.n.01	electrostatic_generator
n03280644	n	3280644	electrostatic_printer.n.01	electrostatic_printer
n03281145	n	3281145	elevator.n.01	elevator
n03281524	n	3281524	elevator.n.02	elevator
n03281673	n	3281673	elevator_shaft.n.01	elevator_shaft
n03282060	n	3282060	embankment.n.01	embankment
n03282401	n	3282401	embellishment.n.02	embellishment
n03283221	n	3283221	emergency_room.n.01	emergency_room
n03284308	n	3284308	empty.n.01	empty
n03284743	n	3284743	enamel.n.04	enamel
n03284886	n	3284886	enamel.n.03	enamel
n03284981	n	3284981	enamelware.n.01	enamelware
n03285578	n	3285578	encaustic.n.01	encaustic
n03285912	n	3285912	enclosure.n.01	enclosure
n03286572	n	3286572	endoscope.n.01	endoscope
n03287351	n	3287351	energizer.n.02	energizer
n03287733	n	3287733	engine.n.01	engine
n03288003	n	3288003	engine.n.04	engine
n03288500	n	3288500	engineering.n.03	engineering
n03288742	n	3288742	english_horn.n.01	English_horn
n03288886	n	3288886	english_saddle.n.01	English_saddle
n03289660	n	3289660	enlarger.n.01	enlarger
n03289985	n	3289985	ensemble.n.05	ensemble
n03290195	n	3290195	entablature.n.01	entablature
n03291413	n	3291413	entrenching_tool.n.01	entrenching_tool
n03291741	n	3291741	envelope.n.02	envelope
n03291819	n	3291819	envelope.n.01	envelope
n03291963	n	3291963	envelope.n.06	envelope
n03292475	n	3292475	epee.n.01	epee
n03293741	n	3293741	equalizer.n.01	equalizer
n03293863	n	3293863	equatorial.n.01	equatorial
n03294048	n	3294048	equipment.n.01	equipment
n03294604	n	3294604	erasable_programmable_read-only_memory.n.01	erasable_programmable_read-only_memory
n03294833	n	3294833	eraser.n.01	eraser
n03295246	n	3295246	erlenmeyer_flask.n.01	Erlenmeyer_flask
n03296081	n	3296081	escapement.n.01	escapement
n03296217	n	3296217	escape_wheel.n.01	escape_wheel
n03296328	n	3296328	escarpment.n.02	escarpment
n03297103	n	3297103	espadrille.n.01	espadrille
n03297495	n	3297495	espresso_maker.n.01	espresso_maker
n03297644	n	3297644	espresso_shop.n.01	espresso_shop
n03297735	n	3297735	establishment.n.04	establishment
n03298089	n	3298089	estaminet.n.01	estaminet
n03298716	n	3298716	etagere.n.01	etagere
n03298858	n	3298858	etamine.n.01	etamine
n03301291	n	3301291	etui.n.01	etui
n03301568	n	3301568	euphonium.n.01	euphonium
n03301833	n	3301833	evaporative_cooler.n.01	evaporative_cooler
n03301940	n	3301940	evening_bag.n.01	evening_bag
n03302671	n	3302671	exercise_bike.n.01	exercise_bike
n03302790	n	3302790	exercise_device.n.01	exercise_device
n03302938	n	3302938	exhaust.n.02	exhaust
n03303217	n	3303217	exhaust_fan.n.01	exhaust_fan
n03303669	n	3303669	exhaust_valve.n.01	exhaust_valve
n03303831	n	3303831	exhibition_hall.n.01	exhibition_hall
n03306385	n	3306385	express.n.02	express
n03307037	n	3307037	extension_cord.n.01	extension_cord
n03307573	n	3307573	external-combustion_engine.n.01	external-combustion_engine
n03307792	n	3307792	external_drive.n.01	external_drive
n03308152	n	3308152	extractor.n.01	extractor
n03308481	n	3308481	eyebrow_pencil.n.01	eyebrow_pencil
n03308614	n	3308614	eyecup.n.01	eyecup
n03309110	n	3309110	eyeliner.n.01	eyeliner
n03309356	n	3309356	eyepatch.n.01	eyepatch
n03309465	n	3309465	eyepiece.n.01	eyepiece
n03309687	n	3309687	eyeshadow.n.01	eyeshadow
n03309808	n	3309808	fabric.n.01	fabric
n03314227	n	3314227	face_guard.n.01	face_guard
n03314608	n	3314608	faceplate.n.01	faceplate
n03314780	n	3314780	face_powder.n.01	face_powder
n03314884	n	3314884	face_veil.n.01	face_veil
n03315644	n	3315644	facing.n.03	facing
n03315990	n	3315990	facing.n.02	facing
n03316105	n	3316105	facsimile.n.02	facsimile
n03316406	n	3316406	factory.n.01	factory
n03317673	n	3317673	fahrenheit_thermometer.n.01	Fahrenheit_thermometer
n03317788	n	3317788	faience.n.01	faience
n03317889	n	3317889	faille.n.01	faille
n03318136	n	3318136	fairlead.n.01	fairlead
n03318294	n	3318294	fairy_light.n.01	fairy_light
n03318865	n	3318865	falchion.n.01	falchion
n03318983	n	3318983	fallboard.n.01	fallboard
n03319457	n	3319457	false_face.n.01	false_face
n03319745	n	3319745	family_room.n.01	family_room
n03320046	n	3320046	fan.n.01	fan
n03320421	n	3320421	fan_blade.n.01	fan_blade
n03320519	n	3320519	fancy_dress.n.01	fancy_dress
n03320845	n	3320845	fanion.n.01	fanion
n03320959	n	3320959	fanlight.n.03	fanlight
n03321103	n	3321103	fanjet.n.02	fanjet
n03321419	n	3321419	fanjet.n.01	fanjet
n03322570	n	3322570	farm_building.n.01	farm_building
n03322704	n	3322704	farmer's_market.n.01	farmer's_market
n03322836	n	3322836	farmhouse.n.01	farmhouse
n03322940	n	3322940	farm_machine.n.01	farm_machine
n03323096	n	3323096	farmplace.n.01	farmplace
n03323703	n	3323703	fastener.n.02	fastener
n03324928	n	3324928	fatigues.n.01	fatigues
n03325088	n	3325088	faucet.n.01	faucet
n03325288	n	3325288	fauld.n.01	fauld
n03325403	n	3325403	fauteuil.n.01	fauteuil
n03325584	n	3325584	feather_boa.n.01	feather_boa
n03325941	n	3325941	fedora.n.01	fedora
n03326073	n	3326073	feedback_circuit.n.01	feedback_circuit
n03326371	n	3326371	feedlot.n.01	feedlot
n03326795	n	3326795	felt.n.01	felt
n03326948	n	3326948	felt-tip_pen.n.01	felt-tip_pen
n03327133	n	3327133	felucca.n.01	felucca
n03327234	n	3327234	fence.n.01	fence
n03327553	n	3327553	fencing_mask.n.01	fencing_mask
n03327691	n	3327691	fencing_sword.n.01	fencing_sword
n03327841	n	3327841	fender.n.01	fender
n03329302	n	3329302	ferris_wheel.n.01	Ferris_wheel
n03329536	n	3329536	ferrule.n.01	ferrule
n03329663	n	3329663	ferry.n.01	ferry
n03330665	n	3330665	festoon.n.01	festoon
n03331077	n	3331077	fez.n.02	fez
n03331599	n	3331599	fiber_optic_cable.n.01	fiber_optic_cable
n03332005	n	3332005	fiberscope.n.01	fiberscope
n03332173	n	3332173	fichu.n.01	fichu
n03332393	n	3332393	field_artillery.n.01	field_artillery
n03333129	n	3333129	field_glass.n.01	field_glass
n03333252	n	3333252	field_hockey_ball.n.01	field_hockey_ball
n03333610	n	3333610	field_house.n.01	field_house
n03333711	n	3333711	field_lens.n.01	field_lens
n03334291	n	3334291	field_tent.n.01	field_tent
n03334382	n	3334382	fieldwork.n.01	fieldwork
n03335030	n	3335030	fighter.n.02	fighter
n03335333	n	3335333	fighting_chair.n.01	fighting_chair
n03335846	n	3335846	figure_eight.n.01	figure_eight
n03336282	n	3336282	figure_skate.n.01	figure_skate
n03336575	n	3336575	filament.n.04	filament
n03336839	n	3336839	file.n.04	file
n03337383	n	3337383	file_folder.n.01	file_folder
n03337494	n	3337494	file_server.n.01	file_server
n03338287	n	3338287	filling.n.05	filling
n03339296	n	3339296	film.n.05	film
n03339529	n	3339529	film_advance.n.01	film_advance
n03339643	n	3339643	filter.n.01	filter
n03340009	n	3340009	filter.n.02	filter
n03340723	n	3340723	finder.n.03	finder
n03340923	n	3340923	finery.n.01	finery
n03341153	n	3341153	finger.n.03	finger
n03341297	n	3341297	fingerboard.n.03	fingerboard
n03341606	n	3341606	finger_bowl.n.01	finger_bowl
n03342015	n	3342015	finger_paint.n.01	finger_paint
n03342262	n	3342262	finger_plate.n.01	finger_plate
n03342657	n	3342657	finish_coat.n.02	finish_coat
n03343234	n	3343234	fipple.n.01	fipple
n03343354	n	3343354	fipple_flute.n.01	fipple_flute
n03343737	n	3343737	fire_alarm.n.02	fire_alarm
n03343853	n	3343853	firearm.n.01	firearm
n03344305	n	3344305	fire_bell.n.01	fire_bell
n03344393	n	3344393	fireboat.n.01	fireboat
n03344509	n	3344509	firebox.n.01	firebox
n03344642	n	3344642	firebrick.n.01	firebrick
n03345487	n	3345487	fire_engine.n.01	fire_engine
n03345837	n	3345837	fire_extinguisher.n.01	fire_extinguisher
n03346135	n	3346135	fire_iron.n.01	fire_iron
n03346455	n	3346455	fireplace.n.01	fireplace
n03347037	n	3347037	fire_screen.n.01	fire_screen
n03347472	n	3347472	fire_tongs.n.01	fire_tongs
n03348868	n	3348868	firing_chamber.n.01	firing_chamber
n03349469	n	3349469	first-aid_kit.n.01	first-aid_kit
n03349771	n	3349771	first_base.n.01	first_base
n03349892	n	3349892	first_class.n.03	first_class
n03350204	n	3350204	fishbowl.n.02	fishbowl
n03350352	n	3350352	fisherman's_bend.n.01	fisherman's_bend
n03350456	n	3350456	fisherman's_knot.n.01	fisherman's_knot
n03350602	n	3350602	fisherman's_lure.n.01	fisherman's_lure
n03351151	n	3351151	fishhook.n.01	fishhook
n03351262	n	3351262	fishing_boat.n.01	fishing_boat
n03351434	n	3351434	fishing_gear.n.01	fishing_gear
n03351979	n	3351979	fishing_rod.n.01	fishing_rod
n03354207	n	3354207	fixer-upper.n.01	fixer-upper
n03354903	n	3354903	flag.n.01	flag
n03355768	n	3355768	flagon.n.01	flagon
n03355925	n	3355925	flagpole.n.02	flagpole
n03356559	n	3356559	flamethrower.n.01	flamethrower
n03356858	n	3356858	flange.n.01	flange
n03356982	n	3356982	flannel.n.01	flannel
n03357081	n	3357081	flannel.n.03	flannel
n03357267	n	3357267	flannelette.n.01	flannelette
n03357716	n	3357716	flap.n.05	flap
n03358172	n	3358172	flash.n.10	flash
n03358380	n	3358380	flash.n.09	flash
n03358726	n	3358726	flash_camera.n.01	flash_camera
n03359137	n	3359137	flashlight.n.01	flashlight
n03359566	n	3359566	flask.n.01	flask
n03360133	n	3360133	flat_arch.n.01	flat_arch
n03360622	n	3360622	flat_bench.n.01	flat_bench
n03360731	n	3360731	flatcar.n.01	flatcar
n03361297	n	3361297	flatlet.n.01	flatlet
n03361380	n	3361380	flat_panel_display.n.01	flat_panel_display
n03361550	n	3361550	flats.n.01	flats
n03363749	n	3363749	flintlock.n.01	flintlock
n03364008	n	3364008	flip-flop.n.02	flip-flop
n03364599	n	3364599	float.n.05	float
n03365374	n	3365374	flood.n.03	flood
n03365592	n	3365592	floor.n.01	floor
n03365991	n	3365991	floor.n.02	floor
n03366823	n	3366823	floor_cover.n.01	floor_cover
n03367059	n	3367059	floor_lamp.n.01	floor_lamp
n03367410	n	3367410	florist.n.02	florist
n03367545	n	3367545	floss.n.01	floss
n03369276	n	3369276	flugelhorn.n.01	flugelhorn
n03370387	n	3370387	fluorescent_lamp.n.01	fluorescent_lamp
n03370646	n	3370646	fluoroscope.n.01	fluoroscope
n03372029	n	3372029	flute.n.01	flute
n03373237	n	3373237	fly.n.05	fly
n03374372	n	3374372	fly_rod.n.01	fly_rod
n03374473	n	3374473	fly_tent.n.01	fly_tent
n03374570	n	3374570	flytrap.n.01	flytrap
n03374649	n	3374649	flywheel.n.01	flywheel
n03374838	n	3374838	fob.n.03	fob
n03375171	n	3375171	foghorn.n.02	foghorn
n03375575	n	3375575	foil.n.05	foil
n03376159	n	3376159	fold.n.06	fold
n03376279	n	3376279	folder.n.02	folder
n03376595	n	3376595	folding_chair.n.01	folding_chair
n03376938	n	3376938	folding_saw.n.01	folding_saw
n03378005	n	3378005	food_court.n.01	food_court
n03378174	n	3378174	food_processor.n.01	food_processor
n03379051	n	3379051	football_helmet.n.01	football_helmet
n03379204	n	3379204	football_stadium.n.01	football_stadium
n03379343	n	3379343	footbath.n.01	footbath
n03379828	n	3379828	footbridge.n.01	footbridge
n03380724	n	3380724	footstool.n.01	footstool
n03380867	n	3380867	footwear.n.02	footwear
n03381126	n	3381126	footwear.n.01	footwear
n03381450	n	3381450	force_pump.n.01	force_pump
n03381776	n	3381776	fore-and-aft_sail.n.01	fore-and-aft_sail
n03382104	n	3382104	forecastle.n.01	forecastle
n03382292	n	3382292	forecourt.n.01	forecourt
n03382533	n	3382533	fore_edge.n.01	fore_edge
n03382856	n	3382856	foremast.n.01	foremast
n03382969	n	3382969	fore_plane.n.01	fore_plane
n03383099	n	3383099	foresail.n.01	foresail
n03384167	n	3384167	fork.n.04	fork
n03384352	n	3384352	forklift.n.01	forklift
n03384891	n	3384891	formalwear.n.01	formalwear
n03385557	n	3385557	fortification.n.01	fortification
n03386011	n	3386011	fortress.n.01	fortress
n03386544	n	3386544	foucault_pendulum.n.01	Foucault_pendulum
n03386726	n	3386726	foulard.n.01	foulard
n03386870	n	3386870	foul-weather_gear.n.01	foul-weather_gear
n03387323	n	3387323	foundation_garment.n.01	foundation_garment
n03387653	n	3387653	foundry.n.01	foundry
n03388043	n	3388043	fountain.n.01	fountain
n03388183	n	3388183	fountain_pen.n.01	fountain_pen
n03388323	n	3388323	four-in-hand.n.01	four-in-hand
n03388549	n	3388549	four-poster.n.01	four-poster
n03389611	n	3389611	four-wheel_drive.n.02	four-wheel_drive
n03389761	n	3389761	four-wheel_drive.n.01	four-wheel_drive
n03390327	n	3390327	fragmentation_bomb.n.01	fragmentation_bomb
n03390673	n	3390673	frail.n.02	frail
n03390786	n	3390786	fraise.n.02	fraise
n03390983	n	3390983	frame.n.10	frame
n03391301	n	3391301	frame.n.01	frame
n03391770	n	3391770	framework.n.03	framework
n03392741	n	3392741	franking_machine.n.01	franking_machine
n03393761	n	3393761	freewheel.n.01	freewheel
n03393912	n	3393912	freight_car.n.01	freight_car
n03394480	n	3394480	freight_train.n.01	freight_train
n03394649	n	3394649	french_door.n.01	French_door
n03394916	n	3394916	french_horn.n.01	French_horn
n03395859	n	3395859	fresnel_lens.n.01	Fresnel_lens
n03396074	n	3396074	fret.n.04	fret
n03396580	n	3396580	friary.n.01	friary
n03396654	n	3396654	friction_clutch.n.01	friction_clutch
n03397266	n	3397266	frigate.n.02	frigate
n03397532	n	3397532	frill.n.03	frill
n03397947	n	3397947	frisbee.n.01	Frisbee
n03398228	n	3398228	frock_coat.n.01	frock_coat
n03399677	n	3399677	front_porch.n.01	front_porch
n03399761	n	3399761	front_projector.n.01	front_projector
n03400231	n	3400231	frying_pan.n.01	frying_pan
n03400972	n	3400972	fuel_filter.n.01	fuel_filter
